,conclusion,keyword,keywords,title,url
0,0,heart,0,Electrocardiographic Changes in Acute Organophosporus Poisoning,https://www.ijsr.net/archive/v5i12/ART20163352.pdf
1,0,heart,0,To Study the Incidence of Bradycardia and ECG Manifestations in Dengue Infection,https://www.ijsr.net/archive/v6i11/ART20177821.pdf
2,0,heart,0,"Smoking and Dental Stain among Fifth Grade Dental Students, University of Baghdad",https://www.ijsr.net/archive/v6i12/ART20178738.pdf
3,0,heart,0,Comparison of Paravertebral Block with Spinal Anaesthesia in Unilateral Inguinal Hernia Repair,https://www.ijsr.net/archive/v5i12/ART20162497.pdf
4,0,heart,0,Surgery for Patients Undergoing Anticoagulant Therapy,https://www.ijsr.net/archive/v6i7/ART20173431.pdf
5,0,heart,0,Environmental Contamination of Arsenic and its Toxicological Impact in Cardiovascular Tissues of Patients with Coronary Heart Disease,https://www.ijsr.net/archive/v6i12/ART20178772.pdf
6,0,heart,0,Signal Processing Algorithm for Vital Sign Extraction of Trapped Victims,https://www.ijsr.net/archive/v4i5/SUB154681.pdf
7,0,heart,0,Effects of Diabetes Mellitus on Periodontal Disease,https://www.ijsr.net/archive/v4i3/SUB151746.pdf
8,0,heart,0,"Evaluation of the Effect of Pd/Hearth Model on the Nutritional Status of the Children 6-59 in Uganda: A Case Study of Zirobwe, Luwero District",https://www.ijsr.net/archive/v5i12/ART20161765.pdf
9,0,heart,0,Evaluation of Physiological Cost and Subjective Assessment of Power Paddy Weeder for Wet Land Paddy,https://www.ijsr.net/archive/v5i1/NOV1531341.pdf
10,0,heart,0,Effects of Aqueous Extract of Hibiscus sabdariffa L. (Malvaceae) on the Cardiac Contraction of Rat and Research of the Mechanism of Action,https://www.ijsr.net/archive/v5i11/ART20163263.pdf
11,0,heart,0,A Comprehensive Floristic Study of Jabalpur District with Special Emphasis to Dominant Family,https://www.ijsr.net/archive/v5i11/ART20162640.pdf
12,0,heart,0,Patient Monitoring System Using Raspberry PI,https://www.ijsr.net/archive/v6i3/ART20171492.pdf
13,0,heart,0,Pathological Study of the Experimental Infection of Mice with Morganella morganii Urine Isolate of Women,https://www.ijsr.net/archive/v6i2/ART20164700.pdf
14,0,heart,0,Automatic ECG Anomalous Identification Using XML Data Processing,https://www.ijsr.net/archive/v4i3/SUB152562.pdf
15,0,heart,0,Mitral Stenosis and Pregnancy: Multidisciplinary Approach,https://www.ijsr.net/archive/v7i6/ART20183410.pdf
16,0,heart,0,Cloud Computing Strategy in Sudan,https://www.ijsr.net/archive/v5i12/ART20163850.pdf
17,0,heart,0,Stress Optimization of S.I. Engine Piston,https://www.ijsr.net/archive/v4i9/SUB158254.pdf
18,0,heart,0,To Compare the Effect of Intrathecal 0.5% Hyperbaric Bupivacaine 16mg Over 0.5% Hyperbaric Bupivacaine 16 Mg + 5?g Dexmedetomidine with Respect to Haemodynamic Changes,https://www.ijsr.net/archive/v7i3/ART2018598.pdf
19,0,heart,0,"QTc Interval, ""A Harbinger of Fatal Cardiac Events""",https://www.ijsr.net/archive/v7i1/ART20179256.pdf
20,0,heart,0,Influenza Associated Comorbidities,https://www.ijsr.net/archive/v6i4/ART20172632.pdf
21,0,heart,0,Comparison between Dexmedetomidine and Clonidine as an Adjuvant to Spinal Anesthesia in Abdominal Hysterectomy,https://www.ijsr.net/archive/v4i1/SUB15889.pdf
22,0,heart,0,Physico-Chemical Characteristics and Sustainable Diversity of Fishes of Taj Baj Ka  Pokhra of  Hajipur  in North Bihar  (India),https://www.ijsr.net/archive/v6i10/ART20177137.pdf
23,0,heart,0,Educational Role of Nurses to Patients who have Experienced an Acut Cardiac Event: A Pilot Study in Albania,https://www.ijsr.net/archive/v5i1/NOV153258.pdf
24,0,heart,0,Disease Prediction Using Heart rate Variability Analysis - IoT,https://www.ijsr.net/archive/v4i9/SUB158092.pdf
25,0,heart,0,A Virtual Instructor System for Supervising the Physical Exercises of Patients with Arthritis,https://www.ijsr.net/archive/v5i4/NOV163093.pdf
26,0,heart,0,Implementation of a Novel Model for Monitoring Health Conditions,https://www.ijsr.net/archive/v5i8/ART2016960.pdf
27,0,heart,0,"Provinces and Decentralized Territorial Entities at the Heart of the February 18, 2006 Constitution of the Democratic Republic of the Congo: Which form of State?",https://www.ijsr.net/archive/v7i7/ART20183837.pdf
28,0,heart,0,"Hyperglycemia, Diabetes Mellitus and the Outcomes of STEMI Patients",https://www.ijsr.net/archive/v5i12/ART20163660.pdf
29,0,heart,0,Yale Observation Score for Prediction of Critical Illness in 3-36 Months Old Febrile Children,https://www.ijsr.net/archive/v6i1/ART20163978.pdf
30,0,heart,0,Comparison between Hemoglobin Levels and Lactate Blood Level as Predictor of HemotransfusionTriger,https://www.ijsr.net/archive/v4i12/NOV152289.pdf
31,0,heart,0,Salivary Matrix Metalloproteinase (MMP-8) in Relation to Periodontal Health Status among a Group of Patients with Acquired Coronary Heart Disease,https://www.ijsr.net/archive/v6i6/ART20174098.pdf
32,0,heart,0,Comparative Study of Low Dose Vs Regular Dose of Bupivacaine in Patients with Pregnancy Induced Hypertension undergoing Caesarean Section under Spinal Anaesthesia,https://www.ijsr.net/archive/v7i6/ART20182177.pdf
33,0,heart,0,"Reproductive Health Status of Women in Rural Areas of Kerala, India",https://www.ijsr.net/archive/v6i10/ART20176995.pdf
34,0,heart,0,Capital Formation and Economic Development,https://www.ijsr.net/archive/v8i1/ART20193973.pdf
35,0,heart,0,Infant's Health Monitoring Device and Alert System with GSM Technique,https://www.ijsr.net/archive/v7i8/ART2019687.pdf
36,0,heart,0,Iatrogenic Adverse Fetal Events - A Clinical Sequelae of Nimesulide use in Third Trimester of Pregnancy. Review of Literature along with Case Report,https://www.ijsr.net/archive/v7i10/ART20191881.pdf
37,0,heart,0,Zaiko Warehouse Management Systems Application Platform,https://www.ijsr.net/archive/v7i3/ART2018928.pdf
38,0,heart,0,Socioeconomic Status and Coronary Heart Disease-A Tertiary Center Study,https://www.ijsr.net/archive/v7i11/ART20192750.pdf
39,0,heart,0,Nutrient Composition and Nutrient-Nutrient Interaction in the Prescribed Diet that Eliminates Heart Burn Symptoms,https://www.ijsr.net/archive/v4i9/SUB158469.pdf
40,0,heart,0,Effect of Lifestyle on Prevention of Non Communicable Diseases,https://www.ijsr.net/archive/v5i12/ART20163900.pdf
41,0,heart,0,Design of an Automated Diagnosis System for Chest Sounds Analysis,https://www.ijsr.net/archive/v4i7/SUB157048.pdf
42,0,heart,0,Heart Valve Disease Classification Using Neural Network ,https://www.ijsr.net/archive/v4i6/SUB155159.pdf
43,0,heart,0,A Review of Steelmaking Technologies,https://www.ijsr.net/archive/v5i2/NOV161103.pdf
44,0,heart,0,Biochemical and Histopathological Changes in Potassium Bromate- fed Rats,https://www.ijsr.net/archive/v5i11/ART20161489.pdf
45,0,heart,0,Knowledge & Life Style Practice on Heart Disease & Its Prevention among Middle Aged People in Rural Areas of Rewari,https://www.ijsr.net/archive/v7i6/ART20183118.pdf
46,0,heart,0,A Research Work on Cardiotonic Activity of Cassia Tora on Chicken Heart,https://www.ijsr.net/archive/v7i8/ART2019666.pdf
47,0,heart,0,Automatic Number Plate Recognition for use in Different Countries using Raspberry pi (Real Time Approach),https://www.ijsr.net/archive/v5i11/ART20163112.pdf
48,0,heart,0,Comparative Cross-Over Double Blinded Study of Two Bolus Dose of Esmolol in Preventing Hemodynamic Fluctuation during Modified ECT. (500?gm/Kg & 1000?gm/Kg),https://www.ijsr.net/archive/v5i10/ART20161819.pdf
49,0,heart,0,Comparison of Butorphanol Versus Fentanyl on Intraoperative Anaesthesia Course and Post-Op Recovery Characteristic in Patient Undergoing Laparoscopic Surgery,https://www.ijsr.net/archive/v7i2/ART201812.pdf
50,0,heart,0,Bacteriology of Early Onset Neonatal Septicaemia in a Tertiary Care Hospital,https://www.ijsr.net/archive/v4i2/SUB151401.pdf
51,0,heart,0,Educational Values in the QUR'AN,https://www.ijsr.net/archive/v6i11/ART20178317.pdf
52,0,heart,0,"Lipid Profile among Sudanese Cigarette Smokers in Khartoum State, Sudan",https://www.ijsr.net/archive/v5i11/ART20162985.pdf
53,0,heart,0,Study of Autonomic Nervous Functions in People Practicing Yoga,https://www.ijsr.net/archive/v4i2/SUB151655.pdf
54,0,heart,0,Correlation between Six Minute Walk Test and Physiological Cost Index in Healthy Indian Females,https://www.ijsr.net/archive/v5i2/NOV161444.pdf
55,0,heart,0,Risk Factors for Prolonged Length of Stay in the ICU Following Cardiac Surgery,https://www.ijsr.net/archive/v7i3/ART2018153.pdf
56,0,heart,0,Gender Difference in Personality of School Going Children Belongs to Different Socio-Economic Groups,https://www.ijsr.net/archive/v4i4/SUB152769.pdf
57,0,heart,0,Study of Barret?s Oesophagus in Gerd Patients Diagnosed on Upper GI Endoscopy,https://www.ijsr.net/archive/v5i3/NOV162171.pdf
58,0,heart,0,Assessment of Severity of Gastroesophageal Reflux Using Reflux Symptom Index,https://www.ijsr.net/archive/v7i9/ART20191569.pdf
59,0,heart,0,The Great Masquerader Complete Heart Block (CHB) With Crusader Hyperkalemia in an Elderly: The Lessons to Reckon,https://www.ijsr.net/archive/v4i4/SUB153667.pdf
60,0,heart,0,Echocardiographic Correlates of Abnormal Liver Function Tests in Patient with Acute Heart Failure,https://www.ijsr.net/archive/v7i11/ART20193033.pdf
61,0,heart,0,Survey of Health Monitoring Management Using Internet of Things (IOT),https://www.ijsr.net/archive/v5i11/ART20163008.pdf
62,0,heart,0,Hematological and Clinical Changes in Rabbits Exposed to Lantana Camara under Experimental Conditions,https://www.ijsr.net/archive/v4i3/SUB152133.pdf
63,0,heart,0,"Nutritional Status and Birth Outcome of Mudukas Tribal Pregnant Women in Attapady Block, Kerela",https://www.ijsr.net/archive/v7i5/ART20182806.pdf
64,0,heart,0,Study of Clinical Profile and Management of Patients with Pulmonary Embolism using Catheter Directed Thombolysis ? Single Center Study,https://www.ijsr.net/archive/v6i6/ART20174752.pdf
65,0,heart,0,Indian National Congress and Eka Movement in Awadh*,https://www.ijsr.net/archive/v8i1/ART20194597.pdf
66,0,heart,0,A Measurement of Heart Rate in 12 lead ECG by an Entropic Method Using Artificial Neural Network,https://www.ijsr.net/archive/v4i6/SUB156196.pdf
67,0,heart,0,Does Preoperative Anemia Predict Adverse Outcomes after Cardiac Surgery?,https://www.ijsr.net/archive/v7i4/ART20179930.pdf
68,0,heart,0,Effect of Exercise on Memory ? A Survey Based Research,https://www.ijsr.net/archive/v5i7/ART2016231.pdf
69,0,heart,0,A Retrospective Study of Cardiac Echinococcosis Patients Admitted in Tertiary Care Hospital of Central India,https://www.ijsr.net/archive/v6i3/ART20171698.pdf
70,0,heart,0,Giant Left Atrium: A Cause of Atrial Fibrillation and Rare Entity in Chronic Rheumatic Valvular Heart Disease: A Case Report,https://www.ijsr.net/archive/v6i7/ART20175291.pdf
71,0,heart,0,Pandas: A Rare Case Report,https://www.ijsr.net/archive/v5i2/NOV161061.pdf
72,0,heart,0,Intelligent Heart Rate Controller using Fractional Order PID Controller Tuned by Particle Swarm Optimization for Pacemaker,https://www.ijsr.net/archive/v7i4/ART20181886.pdf
73,0,heart,0,Algorithm to Calculate Heart Efficiency and to Predict the Valve?smuscularity,https://www.ijsr.net/archive/v4i4/SUB152959.pdf
74,0,heart,0,"Study on Efficacy of Bolus Dose of Ephedrine, Mephentramine and Phenylephrine in Management of Hypotention During Spinal Anaesthesia for Inginal Hernia Repair",https://www.ijsr.net/archive/v5i8/ART20161451.pdf
75,0,heart,0,Secundum Atrial Septal Defect,https://www.ijsr.net/archive/v7i10/ART20191687.pdf
76,0,heart,0,Clinical Study of Pregnancy with Congenital Heart Disease in a Tertiary Care Centre,https://www.ijsr.net/archive/v6i7/ART20175356.pdf
77,0,heart,0,"Ameliorative Effect of Methanolic Extract of Cassiaoccidentalis (MECO) Whole Plant, on Triton X-100-Induced Hyperlipidaemia in Albino Rats",https://www.ijsr.net/archive/v5i2/NOV161642.pdf
78,0,heart,0,AHC/ACC Stenosis Morphology Classification Based Comparison of Coronary Angiographic Lesions in Patients with Acute Coronary Syndrome (ACS) and Chronic Stable Angina (CSA) in a Tertiary Care Centre,https://www.ijsr.net/archive/v4i4/SUB153461.pdf
79,0,heart,0,Evolutionary Process of Key Economic Sectors in the Turkish Economy during (1970-2012) and Their Impacts on SME Development,https://www.ijsr.net/archive/v8i1/ART20193968.pdf
80,0,heart,0,Procalcitonin and C-Reactive Protein as a Specific Marker of Sepsis in Patients Undergoing Cardiac Surgery with Cardiopulmonary Bypass,https://www.ijsr.net/archive/v6i7/ART20175676.pdf
81,0,heart,0,IoT Based Intelligent Healthcare Kit,https://www.ijsr.net/archive/v7i3/ART2018557.pdf
82,0,heart,0,Real Time Arrhythmic Detector & Analysis Using Lab VIEW,https://www.ijsr.net/archive/v4i10/SUB158913.pdf
83,0,heart,0,"Detection of Synthetic Colours in Selected Foods & Beverages Available in Colombo District, Sri Lanka",https://www.ijsr.net/archive/v6i5/ART20173280.pdf
84,0,heart,0,Design of an Effective Algorithm for ECG QRS Detection using VHDL,https://www.ijsr.net/archive/v4i7/SUB156554.pdf
85,0,heart,0,Acute Toxicity of Methanolic Extract of Anabasis articulata Stems,https://www.ijsr.net/archive/v6i1/ART20163860.pdf
86,0,heart,0,Effects of Cold and Intracerebroventricular Injection of Glucagon on Plasma Catecholamines in Muscovy Ducklings,https://www.ijsr.net/archive/v5i12/ART20163558.pdf
87,0,heart,0,A Novel Approach for Improving Efficiency of Agglomerative Hierarchical Clustering For Numerical Data Set,https://www.ijsr.net/archive/v4i7/SUB156859.pdf
88,0,heart,0,Predicting Bus Arrival Time with GPS on Android Application,https://www.ijsr.net/archive/v5i1/NOV152627.pdf
89,0,heart,0,Comparative Study of Urine Albumin Creatinine Ratio v/s Intima Media Thickening as a Marker of Atherogenicity in Ischaemic Heart Diseases,https://www.ijsr.net/archive/v5i2/NOV161142.pdf
90,0,heart,0,Study of Complication in Patients with Beta Thalassemia,https://www.ijsr.net/archive/v5i10/ART20161818.pdf
91,0,heart,0,Consanguinity among the Muslim Population of Kurnool Town,https://www.ijsr.net/archive/v4i4/SUB153155.pdf
92,0,heart,0,Arrhythmia Denoising and Detection using DWT Technique: A Review,https://www.ijsr.net/archive/v4i1/SUB15916.pdf
93,0,heart,0,IOT based Healthcare Monitoring along with Medicine Remainder,https://www.ijsr.net/archive/v7i11/ART20193152.pdf
94,0,heart,0,Prevalence of Major Cardiovascular Risk Factors among Adults in Albania,https://www.ijsr.net/archive/v4i12/NOV151951.pdf
95,0,heart,0,The Frequency of Acute Ischemic Mitral Regurgitation Post-Acute ST-Elevation Myocardial Infarction,https://www.ijsr.net/archive/v6i11/ART20178142.pdf
96,0,heart,0,Effectiveness of Sambote Extract on Decreasing Blood Glucose Levels of Male White Rats (Rattus norvegicus) Induced with Sucrose,https://www.ijsr.net/archive/v7i11/ART20193166.pdf
97,0,heart,0,Study on the Impact of Patient Counseling in Improving Quality of Life in Diabetic Patients,https://www.ijsr.net/archive/v6i8/ART20176042.pdf
98,0,heart,0,Effectiveness of Swedish Massage Therapy on Stress and Blood Pressure Among Patients with Hypertension,https://www.ijsr.net/archive/v4i10/SUB158609.pdf
99,0,heart,0,Woman with Acute Heart Failure et Causa Peripartum Cardiomyopathy - A Case Report,https://www.ijsr.net/archive/v7i9/ART20191433.pdf
100,0,heart,0,The Fluctuations in Blood Pressure at Various Physiological Positions - A Review,https://www.ijsr.net/archive/v7i11/ART20193236.pdf
101,0,heart,0,"A Study to Assess the Video Assisted Teaching on Knowledge and Skills Regarding Adult Cardio Pulmonary Resuscitation (CPR) among  Final year Pharmacy Diploma Students at KCT?S  Krishna College of  Pharmacy, Karad",https://www.ijsr.net/archive/v6i7/ART20175076.pdf
102,0,heart,0,Role of B Type Natriuretic Peptide in Predicting Development of Ventricular Dysfunction in Patients on Single Chamber Permanent Right Ventricular Pacemaker with Structurally Normal Heart,https://www.ijsr.net/archive/v7i4/ART20181789.pdf
103,0,heart,0,Small and Medium Scale Enterprises (SMEs) as Agent of National Development in Sierra Leone,https://www.ijsr.net/archive/v6i3/ART20171386.pdf
104,0,heart,0,An Assessment on Locus of Control and Athletic Identity among National Level Basketball Players,https://www.ijsr.net/archive/v6i4/ART20172772.pdf
105,0,heart,0,Congenital Bicuspid Aortic Valve with Severe Aortic Stenosis and Patent Ductus Arteriosus - An Uncommon Association - Treated in Unison,https://www.ijsr.net/archive/v7i10/ART20192041.pdf
106,0,heart,0,Comparison: The Effect of Ephedrine and Phenylephrine in Treatment of Hypotension after Spinal Anesthesia during Cesarean Section,https://www.ijsr.net/archive/v4i12/NOV152238.pdf
107,0,heart,0,To Evaluate the Organoleptic Quality of Optimised Nutrient Bar,https://www.ijsr.net/archive/v7i12/ART20193444.pdf
108,0,heart,0,Comparison of Limb-OTM Circuit with Conventional Dual Limb Circuit in Controlled Ventilation,https://www.ijsr.net/archive/v7i4/ART20181806.pdf
0,0,Cloud computing,0,Cloud Compiler Based on Android,https://www.ijsr.net/archive/v4i6/SUB155199.pdf
1,0,Cloud computing,0,An Effective Security Scheme Using Division and Replication of Data in Cloud for Optimal Performance,https://www.ijsr.net/archive/v6i6/ART20174431.pdf
2,0,Cloud computing,0,Enhancing Data Security Using Elliptic Curve Cryptography in Cloud Computing,https://www.ijsr.net/archive/v5i7/ART2016624.pdf
3,0,Cloud computing,0,"Private Secure, Trusted, Flexible Personal Storage System in Cloud Computing",https://www.ijsr.net/archive/v4i1/SUB15805.pdf
4,0,Cloud computing,0,Secured Deduplication using Hybrid Cloud Approach,https://www.ijsr.net/archive/v4i6/SUB155801.pdf
5,0,Cloud computing,0,Review of Multimedia Content Protection Scheme in Cloud Based System,https://www.ijsr.net/archive/v7i5/ART20182204.pdf
6,0,Cloud computing,0,Performance Evaluation of Scheduling Algorithms for Real Time Cloud Computing,https://www.ijsr.net/archive/v7i9/ART20191471.pdf
7,0,Cloud computing,0,Survey on Resource Allocation Technique in Cloud,https://www.ijsr.net/archive/v5i4/NOV162511.pdf
8,0,Cloud computing,0,Benefits and Challenges that Surrounds Around Adopting Cloud Computing in E Commerce,https://www.ijsr.net/archive/v4i8/SUB157587.pdf
9,0,Cloud computing,0,Effect of Cost Consideration on Organizations Adoption of Cloud Technology by International Non-Govermental Organizations in Kenya,https://www.ijsr.net/archive/v6i10/ART20177445.pdf
10,0,Cloud computing,0,Big Data Analysis,https://www.ijsr.net/archive/v7i12/ART20193684.pdf
11,0,Cloud computing,0,Concurrent and Free Accessing in Encrypted Cloud Databases,https://www.ijsr.net/archive/v4i12/NOV152030.pdf
12,0,Cloud computing,0,Development of Mobile Data Encryption Mechanism in Cloud Environment,https://www.ijsr.net/archive/v4i4/SUB153675.pdf
13,0,Cloud computing,0,A Study of Various Attacks and Intrusion Detection System in Cloud,https://www.ijsr.net/archive/v7i7/ART20183668.pdf
14,0,Cloud computing,0,Cloud Computing: Cloud Adoption in Professional Practice,https://www.ijsr.net/archive/v4i5/SUB154431.pdf
15,0,Cloud computing,0,Experimental Analysis of Data Security Challenges on Cloud,https://www.ijsr.net/archive/v6i10/ART20177518.pdf
16,0,Cloud computing,0,Nanotechnology for 5G,https://www.ijsr.net/archive/v5i2/NOV152542.pdf
17,0,Cloud computing,0,"Enabling Public Auditability, Dynamic Storage Security and Integrity Verification in Cloud Storage",https://www.ijsr.net/archive/v4i8/SUB157765.pdf
18,0,Cloud computing,0,A Secure and Efficient Way of Accessing Encrypted Cloud Databases Using Adaptive Encryption Scheme,https://www.ijsr.net/archive/v4i3/SUB152278.pdf
19,0,Cloud computing,0,Survey on Content Prefetching for Mobile User from Cloud with less Energy Conserving Transmission Protocol,https://www.ijsr.net/archive/v5i1/NOV152636.pdf
20,0,Cloud computing,0,Online Java Compiler Using Cloud Computing For Android Mobile,https://www.ijsr.net/archive/v4i3/SUB152036.pdf
21,0,Cloud computing,0,A Review: Towards Quality of Service in Cloud Computing,https://www.ijsr.net/archive/v6i1/ART20164099.pdf
22,0,Cloud computing,0,Challenges in Cloud Computing: Enabling the Future Internet of Services,https://www.ijsr.net/archive/v4i1/SUB15399.pdf
23,0,Cloud computing,0,Modified Public Auditing with Privacy Preservation for Shared Data in Cloud Computing,https://www.ijsr.net/archive/v4i7/SUB156242.pdf
24,0,Cloud computing,0,Scalable and Secure Sharing in Cloud Computing Using Data Manipulation & Encryption,https://www.ijsr.net/archive/v4i7/SUB156797.pdf
25,0,Cloud computing,0,Security to Outsource Data in Community Cloud with the Trusted Tenant System,https://www.ijsr.net/archive/v4i4/SUB153785.pdf
26,0,Cloud computing,0,Implementation of Highly Secured Log Management System over Cloud,https://www.ijsr.net/archive/v4i3/SUB152241.pdf
27,0,Cloud computing,0,Integrity Attestation and Auto-correction of Services for SaaS Clouds,https://www.ijsr.net/archive/v4i4/SUB153386.pdf
28,0,Cloud computing,0,A Customer Centric Improved Cloud Service Model,https://www.ijsr.net/archive/v6i7/ART20175275.pdf
29,0,Cloud computing,0,User Ranking Based Social Network Platform for Cloud Environment,https://www.ijsr.net/archive/v4i4/SUB153243.pdf
30,0,Cloud computing,0,An Efficient Way to Prevent Dos/DDos Attack in the Cloud Environment,https://www.ijsr.net/archive/v5i3/NOV161996.pdf
31,0,Cloud computing,0,A Social Compute Cloud: For Sharing Resources,https://www.ijsr.net/archive/v4i2/SUB151451.pdf
32,0,Cloud computing,0,Upgraded Secrecy of Cloud Storage Data Users Using Improved Data Access Control Strategy for Multi-Authority Cloud Storage,https://www.ijsr.net/archive/v5i3/NOV162009.pdf
